FID,class,residue,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDRI,NDTI,NDI7,STI
0,0,TC,1.020454596,-3.620208907,3.761281711,-0.281877268,-3.694258818,1.392519628,1150,1620,2302,3342,2905,-0.115805648,0.149590164,0.069953576,1.351807237
1,0,TC,-2.357067542,-5.339987994,5.837057407,0.441399408,12.58671238,0.693770231,878,1176,1686,2563,2508.5,-0.196090102,0.136860207,0.010746298,1.317121744
2,0,TC,2.532652285,-8.669880796,9.032228994,-0.292120774,-21.95779341,1.412670358,967,1372,1934,2897,2800,-0.182931975,0.128811523,0.017026598,1.295715213
3,0,TC,2.270726862,-8.330161524,8.634106295,-0.272590976,-18.91552154,1.374742363,1081,1445,2035,3054,2810.5,-0.160045817,0.131355286,0.041521024,1.302437305
4,0,TC,0.142212131,0.739589789,0.753138331,0.192285147,0.10517864,0.838725537,839,1158,1690,2496,2097,-0.107472934,0.151699036,0.086871326,1.357653737
5,0,TC,-1.876039422,-0.980244373,2.116696233,1.913848704,1.838977086,0.343188718,919,1270,1804,2612,2303,-0.121499881,0.137937486,0.062868766,1.320017338
6,0,TC,0.359574876,0.909601435,0.978094506,0.395310366,0.327069823,0.716686426,981,1266,1864,2614,1990,-0.032693304,0.166666672,0.135534316,1.399999976
7,0,TC,0.669697774,-2.509555655,2.597376502,-0.266859104,-1.680643835,1.363994296,1030,1462,2132,3078,2702,-0.117914774,0.138667524,0.065051906,1.321983695
8,0,TC,2.64805933,1.644504653,3.117148339,1.610247392,4.35474589,0.383105449,1009,1400,2054,3012,2571,-0.11178378,0.147122249,0.078989789,1.345001936
9,0,TC,4.350535059,2.191573941,4.871360348,1.985118995,9.534519266,0.334995021,1164,1618,2284,3334,2796,-0.100787401,0.140353575,0.08776509,1.326537967
10,0,TC,-0.650389382,-1.362875345,1.510111107,0.477218539,0.886399653,0.676947908,1011,1408,2046,3032,2694,-0.136708856,0.140121296,0.059028991,1.325909376
11,0,TC,3.230357446,-0.559124269,3.278388198,-5.777530369,-1.806171247,-0.209313164,1035,1420,2044,3017,2618.5,-0.123217151,0.154094651,0.070712425,1.364330769
12,0,TC,4.007714685,6.299697267,7.46645583,0.636175758,25.24738925,0.611181284,1116,1560,2256,3230,2598,-0.070457354,0.154709607,0.108442001,1.366050839
13,0,TC,3.723345312,3.745324861,5.281170195,0.994131471,13.94513776,0.50147145,1166,1586,2296,3266,2616,-0.06514658,0.14788273,0.110506631,1.347094774
14,0,TC,1.388634222,2.766789389,3.095711312,0.501893721,3.842058432,0.665826074,1176,1592,2306,3252,2797,-0.096217908,0.141102403,0.075219043,1.328566313
15,0,TC,-2.149862123,3.926363852,4.476409302,-0.547545313,-8.441140924,2.210166074,1032,1426,2066,2930,2417,-0.078295782,0.141232908,0.095941648,1.328920126
16,0,TC,3.938667957,3.29731062,5.136668434,1.194509226,12.98701168,0.45568275,1154,1620,2366,3330,2618,-0.050561797,0.141920686,0.119704105,1.330786824
17,0,TC,5.133276144,2.888826755,5.890317817,1.776941499,14.82914547,0.360108414,1116,1482,2132,3056,2560,-0.091219097,0.142522186,0.088319086,1.332421899
18,0,TC,-4.185019285,0.238835599,4.19182882,-17.52259421,-0.999531588,-0.060523183,1154,1546,2236,3274,2923,-0.133165345,0.139534891,0.056640308,1.324324369
19,0,TC,-2.151769777,0.222696677,2.163263041,-9.66233447,-0.479191979,-0.115442321,1120,1518,2176,3056,2762,-0.118671529,0.13714464,0.050532829,1.317885637
20,0,TC,1.098236272,2.886617171,3.088475611,0.380457888,3.170187681,0.724397324,1186,1600,2282,3238,2585,-0.062256008,0.149950668,0.112141505,1.352804661
21,0,TC,2.182783304,-0.726057941,2.300370206,-3.006348639,-1.584827152,-0.498417862,1152,1580,2250,3200,2474,-0.047417443,0.147778153,0.127952069,1.346806765
22,0,TC,1.354928313,-2.534583163,2.874011577,-0.534576388,-3.434178488,2.148580292,905,1170,1620,2382,2230,-0.158441558,0.119621001,0.032957502,1.2717489
23,0,TC,-1.60828571,3.134868198,3.523348058,-0.513031365,-5.041763724,2.053520345,1094,1528,2180,3024,2530,-0.074309982,0.141936585,0.088944905,1.330830097
24,0,TC,2.297084745,4.372128682,4.938836658,0.525392758,10.0431501,0.655568866,1006,1392,1956,2768,2323,-0.085767701,0.149551526,0.087409154,1.351700425
25,0,TC,1.74799326,-3.347174165,3.776116435,-0.522229551,-5.85083788,2.09305536,904,1240,1760,2588,2281,-0.128928483,0.129555434,0.063051961,1.297676444
26,0,TC,-1.758598198,-1.809824802,2.523516086,0.971695269,3.182754635,0.507177765,1040,1350,1986,2750,2530,-0.120460585,0.13960211,0.041666668,1.324505925
27,0,TC,0.606898195,-7.535478163,7.559878079,-0.080538777,-4.573268099,1.087593446,1188,1648,2314,3226,2764,-0.088617563,0.146650195,0.077128544,1.34370482
28,0,TC,1.109233806,-3.049262193,3.244749537,-0.363771213,-3.382344709,1.571761637,1236,1686,2390,3388,2962,-0.106875934,0.147257805,0.067086615,1.345374703
29,0,TC,0.740431456,-6.842712113,6.882655578,-0.108207308,-5.066559289,1.121336841,1168,1606,2300,3274,2941,-0.122304901,0.136143342,0.053580049,1.315198898
30,0,TC,1.460873483,-0.112284546,1.465182293,-13.01045901,-0.164033516,-0.083260765,1110,1522,2198,3164,2831,-0.12586996,0.146646574,0.055546287,1.343694806
31,0,TC,-2.463041781,-6.425459465,6.881359179,0.383325394,15.82617512,0.722895715,1250,1644,2324,3362,3251,-0.16627802,0.125016823,0.016785121,1.285758257
32,0,TC,4.964459751,2.878253341,5.738484374,1.724816812,14.28897286,0.366997148,1102,1572,2266,3252,2630,-0.074346408,0.140663296,0.105746344,1.327376485
33,0,TC,6.534646305,0.830869268,6.587256339,7.864830911,5.429436795,0.11280531,964,1354,1972,2932,2577,-0.132996261,0.145981774,0.064440005,1.341870427
34,0,TC,-0.335264353,5.005982256,5.017196481,-0.066972741,-1.678327401,1.071780047,1005.5,1391,2012,2917,2259.5,-0.057942308,0.152872905,0.127016366,1.360921144
35,0,TC,5.482738612,7.20309671,9.052349137,0.761164098,39.49269646,0.56780626,1058,1416,1986,2884,2385,-0.091283455,0.157838985,0.094704881,1.374842763
36,0,TC,2.492382094,-0.911887907,2.653960824,-2.733211038,-2.272773092,-0.576963784,991,1344,1906,2792,2354,-0.105164319,0.151252925,0.08511465,1.356414557
37,0,TC,2.689479503,4.290973303,5.064163494,0.626776098,11.54048475,0.614712745,907,1256,1782,2632,2074,-0.075726144,0.157937482,0.118572034,1.375120521
38,0,TC,4.975682627,0.038314255,4.97583014,129.8650505,0.190639572,0.00764146,1036,1454,2050,2954,2391,-0.076784506,0.153478488,0.105332084,1.362609744
39,0,TC,2.61278074,4.860740279,5.518461675,0.537527329,12.70004858,0.650394943,1068,1418,1976,2828,2224,-0.059047621,0.140483096,0.119556613,1.326888442
40,0,TC,1.602313634,5.408247975,5.640616557,0.29627222,8.665709468,0.771442899,1334,1750,2494,3608,3175,-0.120127007,0.132750615,0.06383606,1.306141734
41,0,TC,-0.993414806,-0.442259812,1.087412856,2.246224458,0.439347445,0.308050171,894,1300,1826,2662,2105,-0.070974305,0.156481668,0.116844974,1.37102139
42,0,TC,-0.264977878,3.339754899,3.350250149,-0.079340516,-0.884961165,1.086177917,1136,1532,2172,3146,2674,-0.103590593,0.146368712,0.081099659,1.342931986
43,0,TC,0.546507857,1.180537117,1.300899198,0.462931533,0.645172811,0.683558989,1160,1594,2260,3200,2640,-0.077551022,0.144800782,0.09589041,1.338636398
44,0,TC,-1.81851806,-0.742663664,1.964321067,2.448642836,1.350547286,0.289969141,1176,1520,2134,3046,2133,2.34E-04,0.145945951,0.176288858,1.341772199
45,0,TC,3.229848497,1.977980078,3.787390461,1.63290244,6.388575983,0.379808984,1174,1586,2316,3186,2415,-0.020925809,0.163346618,0.137653992,1.390476227
46,0,TC,-0.396913601,5.397742765,5.412316266,-0.073533256,-2.14243752,1.079369558,993,1434,2086,2984,2250,-0.03782288,0.161073819,0.140236914,1.383999944
47,0,TC,2.864102796,7.006359987,7.56915881,0.408786132,20.06693523,0.709830951,1212,1624,2260,3172,2452,-0.040747028,0.153022453,0.12802276,1.361337662
48,0,TC,4.083905428,5.697973422,7.010362663,0.716729462,23.26998459,0.582502964,964,1358,1898,2822,2030,-0.033604886,0.163748711,0.163231656,1.391625643
49,0,TC,2.921381796,5.906727074,6.589681049,0.494585539,17.25580495,0.669081811,1086,1490,2170,3106,2477,-0.066064127,0.155040085,0.11266344,1.366976142
50,0,TC,3.775359062,3.382681787,5.069109599,1.116084604,12.77083834,0.472570897,1266,1684,2416,3474,2903,-0.091558561,0.130447805,0.089540534,1.300034404
51,0,TC,0.952285063,-1.227018597,1.55319718,-0.776096683,-1.168471482,4.466213432,739,1040,1376,2048,2049,-0.196496353,0.120223269,-2.44E-04,1.273304105
52,0,TC,-3.510983283,-2.618752357,4.38005337,1.3407084,9.194395749,0.427221093,1066,1466,2072,2958,2852,-0.158407792,0.126225486,0.018244406,1.288920045
53,0,TC,0.204626942,-2.196484867,2.205995911,-0.093161098,-0.449459983,1.102731696,1198,1582,2202,3232,2830,-0.124801271,0.142684042,0.066314749,1.332862139
54,0,TC,-0.864230625,0.837558024,1.203494087,-1.031845675,-0.723843295,-31.40143795,1126,1512,2166,3104,2773,-0.122899376,0.135598511,0.056321252,1.313739657
55,0,TC,-2.538694576,-5.595044824,6.144061909,0.45373981,14.20410995,0.687881004,1012,1388,2050,2878,2926,-0.176045015,0.09760987,-0.008270158,1.21633625
56,0,TC,1.942424564,-3.650386642,4.135013401,-0.532114747,-7.090600683,2.137276166,1282,1739,2387,3413,2859,-0.089974299,0.132848054,0.088328913,1.306400895
57,0,TC,4.640555173,4.179417661,6.245180886,1.11033535,19.39481825,0.473858337,1150,1524,2104,2964,2626,-0.110359408,0.150574148,0.060465116,1.354531646
58,0,TC,2.438211349,-2.11603417,3.228385849,-1.152255187,-5.159338528,-6.567920717,1104,1518,2272,3298,2803,-0.104630545,0.134074762,0.081134237,1.309668183
59,0,TC,3.201657319,6.578099741,7.315873549,0.48671462,21.06082118,0.672624044,1080,1482,2156,3094,2539,-0.081576146,0.15253672,0.098526537,1.359984279
60,0,TC,0.309190549,3.604069447,3.617307752,0.085789287,1.114344211,0.920989009,1032,1400,2052,2966,2165,-0.0267963,0.158896655,0.156109914,1.377829075
61,0,TC,6.185054353,3.84826806,7.284508523,1.607230644,23.80174712,0.383548729,743,1064,1520,2200,1736,-0.066339068,0.16538462,0.117886178,1.39631331
62,0,TC,1.218864821,3.607494877,3.807840693,0.337870146,4.397048599,0.747456697,1048,1406,2042,2902,2233,-0.044678364,0.156881258,0.130282372,1.372145057
63,0,TC,4.200893648,3.488739248,5.460660123,1.204129443,14.65582255,0.453693862,1152,1576,2248,3212,2747,-0.099899903,0.141159922,0.078033224,1.328722239
64,0,TC,0.174909135,0.046747944,0.181048546,3.741536412,0.008176642,0.210902103,933,1274,1836,2636,2487,-0.150589868,0.137356922,0.02908452,1.318455935
65,0,TC,3.881281727,2.522403655,4.628916509,1.538723479,9.790159216,0.393898748,1100,1528,2182,3116,2746,-0.114448056,0.139993742,0.063118391,1.325564504
66,0,TC,5.403098549,2.880798801,6.123109967,1.875555678,15.56523982,0.347758872,1054,1490,2126,3074,2480,-0.076856278,0.153872401,0.106949948,1.363709688
67,0,TC,2.138162001,2.595646291,3.362902974,0.823749372,5.549912268,0.548320957,1294,1764,2534,3532,2820,-0.053418007,0.154042304,0.112090677,1.36418438
68,0,TC,0.358202707,-0.327931701,0.485642234,-1.092308874,-0.117466023,-10.83319462,1044,1498,2142,3238,2736,-0.121771216,0.145534039,0.0840308,1.340643287
69,0,TC,3.424817252,-2.361758523,4.160201501,-1.450113218,-8.088591335,-2.221663263,1118,1472,2132,3056,2598,-0.098520085,0.136159599,0.081004597,1.315242529
70,0,TC,1.475778003,-1.96216324,2.455199644,-0.752117853,-2.895717347,4.034175157,1118,1542,2158,3094,2766,-0.123476848,0.12964128,0.055972695,1.297903061
71,0,TC,5.119716754,3.143664694,6.007838825,1.628582324,16.0946728,0.380433206,979,1346,2024,2836,2470,-0.099243432,0.135759279,0.068978518,1.314170003
72,0,TC,-2.917678019,-5.161879344,5.929404978,0.56523561,15.0607019,0.638881453,1218,1648,2326,3340,2895,-0.10898295,0.147400975,0.071371295,1.345768571
73,0,TC,3.098504984,5.12097073,5.985405112,0.605062038,15.86735333,0.623028878,1184,1576,2290,3310,2500,-0.043841336,0.154691458,0.139414802,1.366000056
74,0,TC,3.027978796,6.692413181,7.345546255,0.45244947,20.26448521,0.68849211,1224,1624,2364,3348,2619,-0.051173992,0.148707941,0.122171946,1.349370003
75,0,TC,-0.06524753,6.967554689,6.967860187,-0.00936448,-0.454615732,1.009453003,969,1358,1982,2878,2000,-0.004520342,0.175937369,0.179991797,1.427000046
76,0,TC,1.704733302,4.407226977,4.725438102,0.386804063,7.513146597,0.721082398,1184,1590,2286,3288,2710,-0.084867895,0.151135474,0.096365452,1.356088519
77,0,TC,5.592207094,5.934716546,8.15436329,0.942287142,33.18816397,0.514856932,1172,1576,2244,3272,2481,-0.050158732,0.155978903,0.137493476,1.369608998
78,0,TC,-0.514470747,-0.272457005,0.582162322,1.888263975,0.140171159,0.346228741,1262,1726,2402,3442,2998,-0.110370368,0.135898545,0.068944097,1.314543009
79,0,TC,2.372615942,-12.92503264,13.14099597,-0.183567501,-30.6661385,1.224841002,1048,1420,2050,2876,2812,-0.15672563,0.131562695,0.011251758,1.302987218
80,0,TC,-0.29348221,-3.372289116,3.385035553,0.087027595,0.989706864,0.919939848,1278,1694,2382,3330,3118,-0.133818179,0.131476328,0.03287841,1.302758217
81,0,TC,4.361811925,-2.265738054,4.915177739,-1.925117476,-9.882723265,-1.080943799,1246,1716,2432,3522,2911,-0.089650013,0.148207754,0.094979018,1.347990394
82,0,TC,2.507641071,1.958286423,3.181689717,1.280528243,4.910679463,0.438494898,1156,1552,2192,3090,2719,-0.107310124,0.135865241,0.063866414,1.31445384
83,0,TC,5.769945793,-5.597883588,8.039189954,-1.03073701,-32.29948486,-32.53406857,1009,1412,1966,2862,2526,-0.124666072,0.136410251,0.062360801,1.315914512
84,0,TC,1.855355102,0.400742314,1.898140395,4.629795847,0.743519298,0.177626334,1210,1646,2358,3342,2455,-0.02015375,0.158093274,0.153010175,1.375560045
85,1,RC,-3.815579672,-15.73344928,16.18950507,0.24251387,60.03222925,0.80481999,984.5,1298,1818,2690,3125,-0.264414519,0.075853914,-0.074806534,1.164160013
86,1,RC,-17.18007445,-44.5017394,47.70282767,0.386053999,764.5431958,0.721472613,916.5,1236,1711,2409,3147.5,-0.29566735,0.053668082,-0.132907391,1.113423347
87,1,RC,-13.45655051,-27.27173998,30.41096107,0.493424714,366.9835466,0.669601882,1050,1338,1854,2742,3390,-0.292906165,0.05610469,-0.105675146,1.11887908
88,1,RC,-6.235096953,-7.686307067,9.897259739,0.811195402,47.92486977,0.552121543,1021,1436,2042,2974,3197,-0.22046192,0.084085375,-0.036136769,1.183609605
89,1,RC,-9.98880942,-34.90084261,36.30213669,0.286205394,348.6178655,0.777480801,1054,1440,2016,2824,3496,-0.268505067,0.064114578,-0.106329113,1.137013674
90,1,RC,-5.58705368,-22.31450928,23.00331483,0.250377618,124.6723612,0.799758397,987,1324,1872,2708,3294,-0.275261313,0.072112679,-0.097634122,1.155434132
91,1,RC,-13.54776706,-26.01591456,29.332061,0.520749214,352.4575503,0.657570618,1102,1484,2066,2922,3630,-0.274578661,0.063467495,-0.108058609,1.135537148
92,1,RC,2.577047076,-6.873372014,7.340600416,-0.374931994,-17.71300325,1.599825924,907,1284,1800,2696,2795,-0.216539711,0.121897578,-0.018029504,1.277638674
93,1,RC,-7.032850476,-18.85765807,20.12640688,0.372944002,132.6230895,0.728361826,936,1323,1841,2666,3142.5,-0.261161774,0.069509253,-0.082034886,1.149403453
94,1,RC,-12.66928066,-25.38880217,28.37431846,0.499010571,321.6578604,0.667106703,904.5,1227,1698,2417,3076,-0.288646817,0.050617289,-0.119970888,1.106631994
95,1,RC,-11.74053914,-24.62827274,27.28354957,0.476709807,289.1491999,0.677181119,707,935,1309,1866,2222,-0.258566767,0.095369138,-0.087083928,1.210846901
96,1,RC,-6.621699063,-29.1704199,29.91254412,0.227000471,193.1577421,0.814995612,933,1274,1800,2604,3300,-0.294117659,0.060631938,-0.117886178,1.129090905
97,1,RC,-7.963816764,-18.33164664,19.98678679,0.434429973,145.9898748,0.697141038,940,1286,1902,2730,2949,-0.215831786,0.099266954,-0.038563129,1.220413685
98,1,RC,-12.22002758,-21.14658585,24.42349621,0.577872365,258.4118623,0.633764823,1064,1440,2050,2832,3569,-0.270332813,0.054444298,-0.115138263,1.115158319
99,1,RC,-8.837386769,-31.1065045,32.33750187,0.284100927,274.9002113,0.778754986,1012,1384,1952,2730,3410,-0.271913469,0.05172414,-0.110749185,1.109090924
100,1,RC,-0.723341249,-18.69772643,18.71171281,0.038686054,13.52483678,0.962754816,927,1258,1810,2632,3003,-0.247870356,0.083752863,-0.065838508,1.182817221
101,1,RC,-0.404316088,-6.366697791,6.379522887,0.063504834,2.574158342,0.940287216,1004,1330,1932,2646,3042,-0.223160431,0.076502733,-0.069620252,1.165680528
102,1,RC,-6.768526474,-17.60559645,18.86186568,0.384453119,119.1639457,0.72230687,882.5,1202,1702,2386,3076,-0.28756988,0.053174317,-0.126327887,1.112321258
103,1,RC,-18.60040554,-20.71752269,27.84224905,0.897810313,385.3543237,0.526923051,882,1182,1624,2292,2902,-0.282368541,0.059776444,-0.117443204,1.127153635
104,1,RC,-6.606828181,-21.22897736,22.23330067,0.311217449,140.2562059,0.76265001,870.5,1193,1648,2278,3043.5,-0.297454864,0.05363806,-0.143851042,1.113356352
105,1,RC,-7.980924537,-22.20320301,23.59401153,0.359449244,177.2020877,0.735592009,862,1212,1661,2366,2987,-0.28528443,0.052573305,-0.116008028,1.110981226
106,1,RC,-1.111667898,-21.96029913,21.98841839,0.05062171,24.41255956,0.951817377,904,1236,1768,2486,3064,-0.268211931,0.055195905,-0.104144141,1.116841197
107,1,RC,-7.543903742,-12.45500072,14.56150839,0.605692759,93.95932653,0.62278415,692,929,1210,1798,1759,-0.184910744,0.10619919,0.010964296,1.237635016
108,1,RC,-16.11118456,-8.866055081,18.3895949,1.817176232,142.8426498,0.354965369,874,1266,1742,2604,2690,-0.213898912,0.088444598,-0.016244806,1.1940521
109,1,RC,-4.048852151,-20.25103991,20.65182368,0.199933049,81.9934665,0.83337983,886,1278,1782,2576,3079,-0.26681754,0.076761618,-0.088947833,1.16628778
110,1,RC,-7.090212969,-25.81191455,26.76800427,0.274687604,183.0119713,0.784505942,996,1406,1988,2836,3555,-0.2826989,0.062129006,-0.112501957,1.132489443
111,1,RC,-6.618625769,-21.35635592,22.35844684,0.309913629,141.3497276,0.763409112,835,1166,1600,2434,2686,-0.2533831,0.104517423,-0.049218751,1.233432651
112,1,RC,-12.69783932,-18.34502688,22.31087481,0.692167932,232.9422037,0.590957895,918,1284,1780,2596,2907,-0.240452319,0.080645159,-0.056514628,1.175438643
113,1,RC,0.242824774,-13.79560619,13.79774308,-0.017601602,-3.349914949,1.01791697,829,1144,1628,2502,2542,-0.219184652,0.120871522,-0.007930215,1.274980307
114,1,RC,-2.629370121,-6.689399029,7.187603676,0.393065223,17.58890594,0.717841479,760,1100,1576,2310,2350,-0.19714722,0.113374837,-0.008583691,1.255744696
115,1,RC,-9.715850385,-19.70997932,21.97455423,0.492940669,191.4992102,0.669818983,717,1016,1404,2204,2119,-0.202952027,0.129952788,0.019662272,1.298725843
116,1,RC,-12.81685449,-9.120418525,15.7306641,1.405292361,116.8950771,0.415749876,719,969,1382,2104,2148,-0.216997162,0.136482418,-0.010348071,1.316107988
117,1,RC,-8.70454256,-13.08879136,15.71895418,0.665037918,113.9319414,0.600586923,1010,1416,2026,2862,3017,-0.196510017,0.10061112,-0.026365029,1.223732233
118,1,RC,-6.52022097,-13.20514442,14.72715589,0.4937637,86.10045958,0.669449927,1118,1526,2178,3044,3546,-0.238993704,0.065858796,-0.076176025,1.141003966
119,1,RC,-6.1464479,-5.093580257,7.98269263,1.20670483,31.30742568,0.453164368,779,1078,1510,2256,2243,-0.195310414,0.133642331,0.002889531,1.308515429
120,1,RC,-2.568601044,-8.765367862,9.133968748,0.293039731,22.51473304,0.773371441,1376,1842,2600,3632,2988,-0.069434501,0.124138944,0.097280964,1.283467174
121,1,RC,-10.0865344,-13.46045785,16.8202884,0.749345566,135.7693711,0.571642344,543,842,1124,1766,1887,-0.25340417,0.125579238,-0.03312346,1.287228346
122,1,RC,-7.396666383,-16.86312948,18.41401123,0.43862952,124.7309429,0.695105992,774,1062,1532,2160,2327,-0.206011921,0.107745402,-0.03721863,1.241512656
123,1,RC,-7.184536772,-17.37644686,18.80315065,0.413464089,124.8417215,0.707481717,702,975,1378,2000,2104,-0.208500862,0.097383097,-0.025341131,1.215779424
